arm,nfe,K,gruppe,n_komplexe,ziel,regel,anteil_prozent
Minimal,25,40,frag=5,11,PB-valide,PB-Filter -> gnina,90.91
Minimal,25,40,frag=6,12,PB-valide,PB-Filter -> gnina,100.0
Minimal,25,40,frag=7,8,PB-valide,PB-Filter -> gnina,100.0
Minimal,25,40,frag=8,2,PB-valide,PB-Filter -> gnina,100.0
Minimal,25,40,alle,85,PB-valide,Orakel,96.47
Minimal,25,40,frag=1,6,PB-valide,Orakel,100.0
Minimal,25,40,frag=2,9,PB-valide,Orakel,100.0
Minimal,25,40,frag=3,17,PB-valide,Orakel,100.0
Minimal,25,40,frag=4,20,PB-valide,Orakel,90.0
Minimal,25,40,frag=5,11,PB-valide,Orakel,90.91
Minimal,25,40,frag=6,12,PB-valide,Orakel,100.0
Minimal,25,40,frag=7,8,PB-valide,Orakel,100.0
Minimal,25,40,frag=8,2,PB-valide,Orakel,100.0
Minimal,25,40,alle,85,RMSD<2 & PB,je Zug,28.38
Minimal,25,40,frag=1,6,RMSD<2 & PB,je Zug,35.83
Minimal,25,40,frag=2,9,RMSD<2 & PB,je Zug,39.72
Minimal,25,40,frag=3,17,RMSD<2 & PB,je Zug,37.21
Minimal,25,40,frag=4,20,RMSD<2 & PB,je Zug,30.88
Minimal,25,40,frag=5,11,RMSD<2 & PB,je Zug,24.09
Minimal,25,40,frag=6,12,RMSD<2 & PB,je Zug,17.92
Minimal,25,40,frag=7,8,RMSD<2 & PB,je Zug,11.25
Minimal,25,40,frag=8,2,RMSD<2 & PB,je Zug,10.0
Minimal,25,40,alle,85,RMSD<2 & PB,nur gnina,56.47
Minimal,25,40,frag=1,6,RMSD<2 & PB,nur gnina,33.33
Minimal,25,40,frag=2,9,RMSD<2 & PB,nur gnina,88.89
Minimal,25,40,frag=3,17,RMSD<2 & PB,nur gnina,76.47
Minimal,25,40,frag=4,20,RMSD<2 & PB,nur gnina,55.0
