satz,arm,nfe,K,ziel,regel,mean,count,prozent
PB308,SigmaDock,25,37,acc,gnina,0.7447928338762214,307,74.47928338762215
PB308,SigmaDock,25,38,acc,gnina,0.7451511400651466,307,74.51511400651466
PB308,SigmaDock,25,39,acc,gnina,0.7455928338762213,307,74.55928338762213
PB308,SigmaDock,25,40,acc,gnina,0.745928338762215,307,74.5928338762215
PB308,SigmaDock,25,1,valid,gnina,0.3614423452768727,307,36.14423452768727
PB308,SigmaDock,25,2,valid,gnina,0.45270195439739425,307,45.270195439739425
PB308,SigmaDock,25,3,valid,gnina,0.4995198697068398,307,49.95198697068398
PB308,SigmaDock,25,4,valid,gnina,0.529111074918567,307,52.911107491856704
PB308,SigmaDock,25,5,valid,gnina,0.5497785016286645,307,54.977850162866446
PB308,SigmaDock,25,6,valid,gnina,0.5649980456026057,307,56.49980456026057
PB308,SigmaDock,25,7,valid,gnina,0.5769048859934847,307,57.69048859934847
PB308,SigmaDock,25,8,valid,gnina,0.5862736156351791,307,58.62736156351791
PB308,SigmaDock,25,9,valid,gnina,0.5935524429967425,307,59.35524429967425
PB308,SigmaDock,25,10,valid,gnina,0.5994576547231271,307,59.94576547231271
PB308,SigmaDock,25,11,valid,gnina,0.6042377850162864,307,60.42377850162865
PB308,SigmaDock,25,12,valid,gnina,0.6084234527687294,307,60.84234527687295
PB308,SigmaDock,25,13,valid,gnina,0.6119058631921824,307,61.19058631921824
PB308,SigmaDock,25,14,valid,gnina,0.6147605863192179,307,61.476058631921795
PB308,SigmaDock,25,15,valid,gnina,0.617342345276873,307,61.734234527687306
PB308,SigmaDock,25,16,valid,gnina,0.6194667752442997,307,61.94667752442997
PB308,SigmaDock,25,17,valid,gnina,0.6214309446254076,307,62.14309446254076
PB308,SigmaDock,25,18,valid,gnina,0.6231726384364817,307,62.31726384364818
PB308,SigmaDock,25,19,valid,gnina,0.6247550488599348,307,62.47550488599348
PB308,SigmaDock,25,20,valid,gnina,0.6261364820846909,307,62.61364820846909
PB308,SigmaDock,25,21,valid,gnina,0.6272713355048862,307,62.727133550488624
PB308,SigmaDock,25,22,valid,gnina,0.6281856677524426,307,62.81856677524426
PB308,SigmaDock,25,23,valid,gnina,0.6289899022801305,307,62.898990228013055
PB308,SigmaDock,25,24,valid,gnina,0.6297762214983714,307,62.977622149837146
PB308,SigmaDock,25,25,valid,gnina,0.6305517915309443,307,63.05517915309443
PB308,SigmaDock,25,26,valid,gnina,0.6311521172638438,307,63.11521172638438
PB308,SigmaDock,25,27,valid,gnina,0.6317534201954396,307,63.175342019543955
PB308,SigmaDock,25,28,valid,gnina,0.6323925081433226,307,63.23925081433226
PB308,SigmaDock,25,29,valid,gnina,0.6327413680781756,307,63.27413680781756
PB308,SigmaDock,25,30,valid,gnina,0.6331244299674265,307,63.31244299674265
PB308,SigmaDock,25,31,valid,gnina,0.6334703583061894,307,63.347035830618935
PB308,SigmaDock,25,32,valid,gnina,0.6337742671009772,307,63.377426710097716
PB308,SigmaDock,25,33,valid,gnina,0.6339602605863192,307,63.39602605863192
PB308,SigmaDock,25,34,valid,gnina,0.6341765472312704,307,63.417654723127036
