complex,n_frag,arm,nfe,n_posen,trefferquote,n_moden,groesster_modus,groesster_richtig,entropie,abdeckung_richtig,d_zentrum_richtig,d_zentrum_falsch
7SDD_4IP,5,Separate,25,40,0.025,38,0.05,False,0.9812,0.025,0.893,1.18
7SDD_4IP,5,Separate,5,201,0.024875621890547265,147,0.0299,False,0.9175,0.0149,0.726,1.226
7T3E_SLB,6,SigmaDock,25,40,0.5,12,0.5,True,0.4906,0.5,0.275,0.938
7T3E_SLB,6,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,7.532
7T3E_SLB,6,Minimal,25,40,0.775,9,0.65,True,0.3336,0.65,0.325,0.582
7T3E_SLB,6,Minimal,5,201,0.7661691542288557,24,0.6915,True,0.2556,0.6915,0.344,0.597
7T3E_SLB,6,Separate,25,40,0.9,4,0.875,True,0.1343,0.875,0.405,0.812
7T3E_SLB,6,Separate,5,201,0.8407960199004975,22,0.791,True,0.1944,0.791,0.37,0.646
7TBU_S3P,3,SigmaDock,25,40,0.7,5,0.75,True,0.2333,0.75,0.699,1.423
7TBU_S3P,3,SigmaDock,5,40,0.075,38,0.075,True,0.9777,0.075,1.089,23.111
7TBU_S3P,3,Minimal,25,40,0.325,12,0.325,True,0.5579,0.325,0.443,1.114
7TBU_S3P,3,Minimal,5,203,0.3842364532019704,31,0.3596,True,0.4186,0.3596,0.554,1.098
7TBU_S3P,3,Separate,25,40,0.425,9,0.425,True,0.4497,0.425,0.434,1.044
7TBU_S3P,3,Separate,5,200,0.485,21,0.48,True,0.335,0.48,0.333,1.061
7TE8_P0T,5,SigmaDock,25,40,0.025,5,0.375,False,0.3403,0.025,0.101,1.085
7TE8_P0T,5,SigmaDock,5,40,0.025,39,0.05,False,0.9906,0.025,0.456,9.601
7TE8_P0T,5,Minimal,25,40,0.425,10,0.25,False,0.5314,0.225,0.317,0.695
7TE8_P0T,5,Minimal,5,201,0.5024875621890548,21,0.2886,True,0.3684,0.2886,0.267,0.514
